PariodoGraduacion,idAlumno
200011,A10723
200413,A10724
200613,A10725
200713,A10729
200011,A10751
200311,A10753
200011,A11135
200013,A12728
200213,A12730
200011,A12734
200413,A12736
200513,A12737
200111,A12980
200011,A12981
200211,A12988
200313,A12991
200211,A12996
200613,A12999
200413,A13005
200211,A13006
200313,A13010
200113,A13021
200013,A13034
200211,A13056
200413,A13059
200013,A13069
200011,A13073
200213,A13093
200213,A13121
200311,A13135
200013,A13139
200113,A13168
200511,A13172
200013,A13181
200113,A13186
200013,A13231
200413,A13252
200111,A13260
200013,A13261
200111,A13266
200013,A13296
200011,A13299
200311,A13319
200011,A13349
200013,A13370
200011,A13373
200013,A13383
200011,A13387
200013,A13393
200011,A13395
200513,A13402
200113,A13410
200013,A13415
200011,A13439
200011,A13447
200111,A13449
200111,A13451
200011,A13469
200013,A13473
200013,A13474
200011,A13478
200011,A13486
200311,A13495
200011,A13496
200011,A13503
200013,A13504
200513,A13519
200011,A13524
200011,A13532
200011,A13534
200011,A13550
200011,A13557
200011,A13560
200011,A13572
200011,A13580
200013,A13582
200011,A13596
200011,A13600
200011,A13613
200011,A13625
200111,A13626
200211,A13633
200011,A13641
200213,A13652
200011,A13662
200013,A13674
200413,A13675
200011,A13678
200013,A13681
200013,A13683
200213,A13699
200013,A13703
200011,A13705
200313,A13707
200113,A13710
200011,A13712
200011,A13741
200011,A13748
200013,A13781
200013,A13818
200113,A13828
200113,A13848
200011,A13851
200013,A13852
200013,A13853
200011,A13866
200011,A13867
200011,A13869
200211,A13879
200011,A13882
200113,A13885
200013,A13892
200011,A13896
200011,A13905
200013,A13908
200113,A13916
200113,A13926
200011,A13929
200013,A13933
200011,A13940
200111,A13944
200213,A13963
200113,A13976
200011,A13981
200011,A13984
200013,A13988
200111,A13991
200011,A13993
200011,A14003
200013,A14011
200013,A14013
200011,A14014
200113,A14015
200111,A14017
200013,A14024
200011,A14026
200213,A14027
200011,A14031
200213,A14035
200111,A14057
200313,A14074
200011,A14085
200013,A14102
200011,A14108
200011,A14109
200011,A14114
200011,A14117
200111,A14118
200011,A14121
200011,A14127
200111,A14128
200011,A14129
200013,A14132
200013,A14137
200011,A14140
200111,A14147
200711,A14149
200013,A14155
200013,A14156
200013,A14159
200013,A14160
200013,A14164
200011,A14168
200013,A14173
200011,A14179
200111,A14182
200011,A14183
200411,A14189
200213,A14197
200011,A14201
200013,A14202
200011,A14205
200111,A14227
200011,A14235
200011,A14238
200011,A14239
200011,A14245
200011,A14249
200011,A14252
200011,A14255
200011,A14257
200011,A14259
200011,A14260
200011,A14266
200011,A14267
200013,A14279
200013,A14283
200011,A14291
200011,A14299
200013,A14305
200011,A14310
200011,A14312
200013,A14315
200011,A14316
200013,A14317
200013,A14318
200013,A14319
200013,A14322
200113,A14325
200011,A14326
200013,A14333
200111,A14337
200011,A14339
200011,A14342
200011,A14352
200011,A14358
200811,A14368
200013,A14369
200313,A14371
200011,A14373
200011,A14374
200013,A14380
200011,A14388
200013,A14389
200011,A14392
200111,A14396
200011,A14400
200113,A14403
200011,A14413
200011,A14416
200013,A14433
200011,A14437
200011,A14439
200013,A14441
200011,A14445
200011,A14446
200011,A14447
200011,A14449
200011,A14450
200011,A14456
200011,A14457
200011,A14460
200013,A14461
200011,A14464
200013,A14471
200011,A14472
200011,A14474
200013,A14475
200013,A14476
200011,A14484
200011,A14486
200113,A14490
200011,A14496
200111,A14501
200011,A14506
200013,A14510
200011,A14514
200011,A14528
200011,A14533
200013,A14538
200013,A14556
200011,A14557
200011,A14560
200611,A14561
200011,A14562
200011,A14564
200013,A14576
200011,A14586
200013,A14589
200011,A14598
200013,A14606
200313,A14614
200011,A14615
200111,A14616
200011,A14620
200013,A14621
200013,A14622
200113,A14625
200113,A14626
200011,A14628
200011,A14637
200011,A14643
200011,A14691
200113,A14693
200011,A14694
200011,A14695
200013,A14701
200113,A14702
200011,A14704
200211,A14705
200013,A14706
200413,A14709
200113,A14710
200013,A14715
200011,A14717
200113,A14719
200211,A14729
200113,A14743
200113,A14751
200211,A14754
200111,A14755
200511,A14758
200211,A14799
200413,A14808
200013,A14829
200313,A14833
