"IdAlumno","PromedioAcum","Genero"
"A10763",95.187,"M"
"A13610",69.795,"F"
"A13743",72.32,"M"
"A14907",73.491,"M"
"A15238",71.671,"M"
"A15243",74.985,"F"
"A15259",79.137,"M"
"A15265",81.666,"F"
"A15268",91.183,"M"
"A15274",77,"M"
"A15293",79.849,"F"
"A15301",76.078,"F"
"A15307",78.303,"M"
"A15319",93.982,"F"
"A15320",90.448,"M"
"A15327",92.294,"F"
"A15331",83.66,"F"
"A15332",82.777,"M"
"A15334",79.86,"F"
"A15336",90.617,"M"
"A15337",88.105,"F"
"A15340",79.075,"M"
"A15342",90.37,"M"
"A15343",84.907,"M"
"A15345",87.384,"M"
"A15352",71.048,"M"
"A15358",75.431,"M"
"A15363",83.236,"M"
"A15364",88.1,"F"
"A15369",82.562,"F"
"A15370",87.464,"F"
"A15371",84.235,"M"
"A15373",84.692,"M"
"A15374",89.81,"M"
"A15376",88.051,"M"
"A15377",78.593,"M"
"A15378",79,"M"
"A15380",91.684,"F"
"A15381",89.444,"F"
"A15382",72.962,"M"
"A15383",92,"M"
"A15384",86.633,"F"
"A15385",83.701,"M"
"A15387",77.377,"M"
"A15388",89.4,"M"
"A15389",87.21,"F"
"A15394",84.258,"M"
"A15395",88.105,"F"
"A15396",97.545,"F"
"A15397",97,"F"
"A15401",87.542,"M"
"A15403",79.015,"M"
"A15404",68.714,"M"
"A15406",81.846,"M"
"A15407",80.653,"F"
"A15409",94.4,"F"
"A15410",87.346,"M"
"A15411",89.692,"F"
"A15412",74.821,"M"
"A15414",87.73,"F"
"A15415",75.875,"M"
"A15417",79.115,"M"
"A15418",84.791,"F"
"A15419",86.333,"F"
"A15420",81.034,"F"
"A15421",76.96,"M"
"A15422",90.74,"M"
"A15424",82.74,"M"
"A15425",86.736,"F"
"A15426",93.027,"M"
"A15427",82.84,"M"
"A15428",77.296,"F"
"A15431",85.923,"M"
"A15433",84.777,"M"
"A15434",84.172,"F"
"A15435",76.851,"F"
"A15436",85.409,"F"
"A15437",74.75,"M"
"A15439",90.769,"F"
"A15442",86.541,"M"
"A15443",75.38,"M"
"A15448",85.076,"F"
"A15449",95.5,"F"
"A15452",86.583,"F"
"A15453",98.307,"M"
"A15454",0,"M"
"A15456",75,"F"
"A15457",83.333,"M"
"A15458",88.214,"M"
"A15459",83,"F"
"A15460",92.641,"F"
"A15461",91.403,"F"
"A15462",89.333,"M"
"A15463",85.74,"F"
"A15465",82.977,"M"
"A15466",92.037,"M"
"A15468",81.071,"F"
"A15469",72.487,"M"
"A15470",87.56,"F"
"A15471",75.5,"M"
"A15472",87.187,"M"
"A15473",85.14,"F"
"A15475",85.325,"F"
"A15476",90.769,"F"
"A15477",87.736,"M"
"A15479",0,"F"
"A15482",0,"F"
"A15486",90.829,"M"
"A15487",94.5,"F"
"A15490",74.763,"M"
"A15491",0,"F"
"A15492",86.82,"M"
"A15494",91.236,"F"
"A15495",91.037,"F"
"A15496",91.227,"M"
"A15497",89.48,"F"
"A15499",91.4,"F"
"A15500",81.6,"M"
"A15537",86.847,"M"
"A15603",72.152,"M"
"A15642",72.408,"M"
"A15644",75.423,"M"
"A15653",75.84,"F"
"A15654",72.627,"F"
"A15656",75.571,"F"
"A15657",85.574,"M"
"A15661",84.48,"M"
"A15662",83.071,"M"
"A15663",92.115,"F"
"A15666",83.884,"M"
"A15667",74.212,"M"
"A15669",83.87,"M"
"A15671",88.647,"M"
"A15675",88.857,"M"
"A15677",92.792,"M"
"A15678",82.17,"F"
"A15682",93,"M"
"A15683",92.26,"F"
"A15686",89.536,"M"
"A15688",89.348,"F"
"A15689",87.588,"F"
"A15692",77.611,"M"
"A15693",82.205,"M"
"A15695",73.969,"M"
"A15696",78.125,"M"
"A15697",83.692,"F"
"A15701",87.407,"M"
"A15702",74.136,"M"
"A15703",85.75,"F"
"A15704",92.076,"M"
"A15705",0,"M"
"A15706",94.714,"M"
"A15707",83.437,"M"
"A15708",83.5,"M"
"A15713",0,"M"
"A15714",0,"F"
"A15716",0,"M"
"A15719",0,"M"
"A15720",0,"F"
"A15721",0,"M"
"A15722",0,"F"
"A16889",57.428,"M"
"A17052",68.56,"M"
"A17224",70.303,"M"
"A17230",91.888,"F"
"A17333",75,"M"
"A17334",83.394,"F"
"A17338",83.7,"F"
"A17348",81.535,"F"
"A17350",87.272,"F"
"A17354",82.333,"M"
"A17357",83.923,"F"
"A17367",91.166,"F"
"A17369",85.274,"F"
"A17370",73.568,"M"
"A17372",82.622,"M"
"A17401",73.207,"M"
"A17403",75.293,"M"
"A17412",79.46,"M"
"A17414",80.963,"M"
"A17432",90.909,"F"
"A17434",77.025,"M"
"A17451",90.9,"F"
"A17453",89.315,"F"
"A17455",82.869,"M"
"A17458",89.693,"M"
"A17459",93.055,"F"
"A17461",83.416,"F"
"A17462",81.04,"F"
"A17463",88.08,"M"
"A17465",71.814,"M"
"A17467",88.758,"M"
"A17468",74.575,"F"
"A17469",83.68,"M"
"A17471",74.666,"M"
"A17472",86.66,"F"
"A17473",79.018,"F"
"A17475",78.787,"M"
"A17476",76.612,"M"
"A17477",78.235,"M"
