"","PeriodoAcad","IdAlumno","PrepaPrivada","Genero","PromedioAcum"
"3",200513,"A10764",0,"M",93.666
"5",200513,"A11766",0,"F",94.571
"13",200513,"A13044",0,"M",87.285
"14",200513,"A13280",0,"M",68.018
"15",200513,"A13402",0,"M",77
"17",200513,"A13519",0,"M",78.342
"19",200513,"A13610",0,"F",71.463
"22",200513,"A13743",0,"M",73.315
"24",200513,"A14738",1,"M",78.5
"26",200513,"A14855",1,"F",90.235
"31",200513,"A15168",1,"M",87.31
"32",200513,"A15173",1,"F",83.603
"34",200513,"A15177",1,"M",83.722
"35",200513,"A15181",0,"F",77.631
"36",200513,"A15184",0,"M",81.707
"37",200513,"A15186",1,"M",81.49
"38",200513,"A15189",1,"M",75.395
"40",200513,"A15196",1,"F",91.868
"41",200513,"A15198",1,"F",78.925
"42",200513,"A15199",1,"M",94.561
"43",200513,"A15201",1,"M",81.836
"44",200513,"A15203",1,"M",90.857
"45",200513,"A15206",1,"F",97.206
"46",200513,"A15208",1,"F",76.264
"47",200513,"A15209",0,"F",87.563
"48",200513,"A15210",1,"F",97.036
"49",200513,"A15212",1,"M",85.892
"50",200513,"A15214",1,"M",77.37
"51",200513,"A15215",1,"M",83.192
"52",200513,"A15217",1,"F",88.345
"53",200513,"A15218",1,"F",88.576
"54",200513,"A15227",1,"M",78.793
"55",200513,"A15228",1,"F",82.531
"56",200513,"A15229",1,"M",92.428
"57",200513,"A15230",0,"M",74.311
"58",200513,"A15231",1,"F",87.803
"59",200513,"A15234",0,"M",68.35
"60",200513,"A15238",1,"M",71.093
"61",200513,"A15239",1,"M",94.818
"62",200513,"A15241",1,"M",76.659
"63",200513,"A15242",1,"F",88.282
"64",200513,"A15243",1,"F",76.266
"65",200513,"A15245",1,"F",74.953
"66",200513,"A15248",1,"F",96.767
"67",200513,"A15249",1,"M",79.956
"68",200513,"A15250",1,"F",84.75
"70",200513,"A15259",1,"M",71.913
"71",200513,"A15261",0,"F",83.552
"72",200513,"A15265",1,"F",79.555
"73",200513,"A15268",1,"M",91.387
"74",200513,"A15270",1,"M",73.366
"75",200513,"A15271",1,"F",84.285
"76",200513,"A15274",1,"M",76.705
"77",200513,"A15275",0,"F",65.269
"80",200513,"A15279",1,"F",86.647
"81",200513,"A15281",1,"F",88.272
"82",200513,"A15282",1,"M",89.909
"83",200513,"A15283",1,"F",86.588
"84",200513,"A15284",0,"M",73.693
"85",200513,"A15288",1,"F",86.548
"86",200513,"A15289",1,"F",83.653
"87",200513,"A15291",0,"M",78.18
"88",200513,"A15292",1,"M",80.058
"89",200513,"A15293",1,"F",81
"90",200513,"A15294",1,"F",86.84
"91",200513,"A15296",0,"M",86.411
"92",200513,"A15297",1,"M",76.363
"93",200513,"A15298",1,"M",76.833
"95",200513,"A15301",1,"F",77.428
"96",200513,"A15302",1,"M",65.411
"97",200513,"A15303",1,"M",78.129
"99",200513,"A15306",1,"M",75
"100",200513,"A15307",1,"M",77.857
"101",200513,"A15309",0,"F",82.774
"102",200513,"A15310",0,"M",84.875
"104",200513,"A15313",0,"F",93.185
"105",200513,"A15314",0,"M",79.861
"106",200513,"A15316",0,"M",84.4
"107",200513,"A15317",0,"M",81.583
"108",200513,"A15318",0,"M",85.403
"109",200513,"A15319",1,"F",93.8
"110",200513,"A15320",1,"M",89.437
"111",200513,"A15321",1,"M",95.636
"112",200513,"A15322",1,"F",93.153
"113",200513,"A15323",1,"F",95.526
"114",200513,"A15324",1,"F",99.105
"115",200513,"A15325",1,"F",98.842
"116",200513,"A15326",1,"M",86
"117",200513,"A15327",1,"F",94.476
"118",200513,"A15329",1,"F",93.052
"119",200513,"A15331",1,"F",85.904
"120",200513,"A15332",1,"M",85.4
"121",200513,"A15333",1,"M",84.863
"122",200513,"A15337",1,"F",92.285
"123",200513,"A15338",0,"F",91.35
"124",200513,"A15340",1,"M",81.153
"125",200513,"A15341",1,"M",63.21
"126",200513,"A15342",1,"M",96.157
"127",200513,"A15345",1,"M",93.315
"129",200513,"A15347",0,"M",85.935
"130",200513,"A15348",0,"M",78.969
"131",200513,"A15350",1,"M",87.578
"132",200513,"A15352",1,"M",74
"133",200513,"A15353",0,"F",90.827
"134",200513,"A15355",0,"M",74.339
"135",200513,"A15357",1,"F",72.928
"136",200513,"A15358",1,"M",76.523
"137",200513,"A15359",0,"M",59.404
"138",200513,"A15360",0,"M",76.53
"139",200513,"A15362",0,"M",78.76
"140",200513,"A15363",1,"M",92
"141",200513,"A15364",1,"F",88.857
"142",200513,"A15365",0,"M",85.974
"143",200513,"A15366",0,"M",85.568
"144",200513,"A15367",1,"M",90.714
"145",200513,"A15368",1,"M",41.666
"146",200513,"A15369",1,"F",83.857
"147",200513,"A15371",1,"M",92.285
"148",200513,"A15372",1,"M",92.5
"149",200513,"A15373",1,"M",88.833
"150",200513,"A15374",1,"M",94.166
"151",200513,"A15375",0,"M",87.968
"152",200513,"A15376",1,"M",92.5
"153",200513,"A15377",1,"M",73.428
"154",200513,"A15379",1,"F",93.714
"155",200513,"A15380",1,"F",97.142
"156",200513,"A15381",1,"F",93.714
"157",200513,"A15383",1,"M",94.5
"158",200513,"A15384",1,"F",90.428
"159",200513,"A15385",0,"M",87.793
"160",200513,"A15386",0,"M",91.65
"161",200513,"A15387",0,"M",80.794
"162",200513,"A15389",1,"F",94.333
"163",200513,"A15390",1,"M",89.428
"164",200513,"A15391",0,"M",80.32
"165",200513,"A15393",0,"F",77.297
"166",200513,"A15394",0,"M",88.228
"167",200513,"A15395",1,"F",92
"168",200513,"A15396",1,"F",99.857
"169",200513,"A15397",1,"F",98.666
"170",200513,"A15398",0,"F",84.257
"171",200513,"A15400",0,"M",76.928
"172",200513,"A15401",1,"M",91.571
"173",200513,"A15403",0,"M",76.9
"174",200513,"A15404",0,"M",65.945
"175",200513,"A15426",0,"M",93.193
"176",200513,"A15428",0,"F",77.241
"177",200513,"A15433",0,"M",84.035
"178",200513,"A15436",0,"F",89.25
"179",200513,"A15437",0,"M",73.516
"180",200513,"A15440",0,"M",88.466
