"IdAlumno","PeriodoAcad","Genero","PrepaPrivada","PromedioAcum"
"A10764","AD05","M","Publica",93.666
"A11766","AD05","F","Publica",94.571
"A13044","AD05","M","Publica",87.285
"A13280","AD05","M","Publica",68.018
"A13402","AD05","M","Publica",77
"A13519","AD05","M","Publica",78.342
"A13610","AD05","F","Publica",71.463
"A13743","AD05","M","Publica",73.315
"A14738","AD05","M","Privada",78.5
"A14855","AD05","F","Privada",90.235
"A15168","AD05","M","Privada",87.31
"A15173","AD05","F","Privada",83.603
"A15177","AD05","M","Privada",83.722
"A15181","AD05","F","Publica",77.631
"A15184","AD05","M","Publica",81.707
"A15186","AD05","M","Privada",81.49
"A15189","AD05","M","Privada",75.395
"A15196","AD05","F","Privada",91.868
"A15198","AD05","F","Privada",78.925
"A15199","AD05","M","Privada",94.561
"A15201","AD05","M","Privada",81.836
"A15203","AD05","M","Privada",90.857
"A15206","AD05","F","Privada",97.206
"A15208","AD05","F","Privada",76.264
"A15209","AD05","F","Publica",87.563
"A15210","AD05","F","Privada",97.036
"A15212","AD05","M","Privada",85.892
"A15214","AD05","M","Privada",77.37
"A15215","AD05","M","Privada",83.192
"A15217","AD05","F","Privada",88.345
"A15218","AD05","F","Privada",88.576
"A15227","AD05","M","Privada",78.793
"A15228","AD05","F","Privada",82.531
"A15229","AD05","M","Privada",92.428
"A15230","AD05","M","Publica",74.311
"A15231","AD05","F","Privada",87.803
"A15234","AD05","M","Publica",68.35
"A15238","AD05","M","Privada",71.093
"A15239","AD05","M","Privada",94.818
"A15241","AD05","M","Privada",76.659
"A15242","AD05","F","Privada",88.282
"A15243","AD05","F","Privada",76.266
"A15245","AD05","F","Privada",74.953
"A15248","AD05","F","Privada",96.767
"A15249","AD05","M","Privada",79.956
"A15250","AD05","F","Privada",84.75
"A15259","AD05","M","Privada",71.913
"A15261","AD05","F","Publica",83.552
"A15265","AD05","F","Privada",79.555
"A15268","AD05","M","Privada",91.387
"A15270","AD05","M","Privada",73.366
"A15271","AD05","F","Privada",84.285
"A15274","AD05","M","Privada",76.705
"A15275","AD05","F","Publica",65.269
"A15279","AD05","F","Privada",86.647
"A15281","AD05","F","Privada",88.272
"A15282","AD05","M","Privada",89.909
"A15283","AD05","F","Privada",86.588
"A15284","AD05","M","Publica",73.693
"A15288","AD05","F","Privada",86.548
"A15289","AD05","F","Privada",83.653
"A15291","AD05","M","Publica",78.18
"A15292","AD05","M","Privada",80.058
"A15293","AD05","F","Privada",81
"A15294","AD05","F","Privada",86.84
"A15296","AD05","M","Publica",86.411
"A15297","AD05","M","Privada",76.363
"A15298","AD05","M","Privada",76.833
"A15301","AD05","F","Privada",77.428
"A15302","AD05","M","Privada",65.411
"A15303","AD05","M","Privada",78.129
"A15306","AD05","M","Privada",75
"A15307","AD05","M","Privada",77.857
"A15309","AD05","F","Publica",82.774
"A15310","AD05","M","Publica",84.875
"A15313","AD05","F","Publica",93.185
"A15314","AD05","M","Publica",79.861
"A15316","AD05","M","Publica",84.4
"A15317","AD05","M","Publica",81.583
"A15318","AD05","M","Publica",85.403
"A15319","AD05","F","Privada",93.8
"A15320","AD05","M","Privada",89.437
"A15321","AD05","M","Privada",95.636
"A15322","AD05","F","Privada",93.153
"A15323","AD05","F","Privada",95.526
"A15324","AD05","F","Privada",99.105
"A15325","AD05","F","Privada",98.842
"A15326","AD05","M","Privada",86
"A15327","AD05","F","Privada",94.476
"A15329","AD05","F","Privada",93.052
"A15331","AD05","F","Privada",85.904
"A15332","AD05","M","Privada",85.4
"A15333","AD05","M","Privada",84.863
"A15337","AD05","F","Privada",92.285
"A15338","AD05","F","Publica",91.35
