idOrder,OrderDate,Segmanto,VentaTotal
28419,1/1/2012,Consumer,121.32
5281,1/1/2014,Consumer,7293.04
6592,1/2/2012,Consumer,1812.39
25315,1/2/2013,Consumer,9304.44
37667,1/2/2014,Consumer,448.88
45376,1/2/2014,Consumer,7048.62
19556,1/3/2013,Consumer,11185.31
25735,1/3/2013,Consumer,251.1
57959,1/3/2014,Consumer,1495.28
20484,1/4/2011,Consumer,1343.86
57958,1/5/2011,Consumer,1425.08
928,1/5/2013,Consumer,1638.66
12868,1/5/2013,Consumer,63.52
29127,1/6/2011,Consumer,30.24
21889,1/6/2012,Consumer,1971.39
34371,1/6/2012,Consumer,9182.52
46434,1/6/2012,Consumer,848.3
58342,1/6/2013,Consumer,1639.2
45380,1/7/2011,Consumer,6947.42
57092,1/7/2012,Consumer,3218.71
769,1/8/2012,Consumer,4291.63
4033,1/8/2012,Consumer,19767.2
51650,1/8/2013,Consumer,12207.07
33029,1/8/2014,Consumer,17206.52
48993,1/8/2014,Consumer,110.16
47494,1/9/2011,Consumer,1942.8
32129,1/9/2013,Consumer,8275.52
29187,1/10/2011,Consumer,28964.99
28321,1/10/2012,Consumer,86.24
2562,1/10/2014,Consumer,958.87
1031,1/11/2011,Consumer,216.58
45217,1/11/2012,Consumer,8039.6
14535,1/12/2012,Consumer,248.38
8678,1/12/2014,Consumer,921.94
27300,1/12/2014,Consumer,3755.7
32231,2/1/2015,Consumer,187.44
645,2/2/2012,Consumer,543.9
21635,2/2/2012,Consumer,49.84
41570,2/2/2013,Consumer,2516.4
29255,2/2/2014,Consumer,725.89
46597,2/3/2012,Consumer,9464.02
45127,2/3/2015,Consumer,14.8
21383,2/4/2011,Consumer,17816.94
41312,2/4/2014,Consumer,829.08
2914,2/5/2012,Consumer,56.91
40165,2/5/2013,Consumer,431
56358,2/5/2014,Consumer,5.89
8295,2/6/2011,Consumer,1961.63
7431,2/7/2011,Consumer,73.59
2050,2/8/2011,Consumer,617.24
21766,2/8/2011,Consumer,5461.94
898,2/8/2012,Consumer,8339.88
12196,2/8/2012,Consumer,11055.11
53762,2/8/2014,Consumer,139.44
29287,2/9/2011,Consumer,13564.53
46244,2/9/2011,Consumer,767.12
45029,2/9/2012,Consumer,5242.2
54913,2/9/2012,Consumer,52.36
3393,2/9/2013,Consumer,424.7
29569,2/9/2013,Consumer,28149.67
47399,2/10/2014,Consumer,137.28
27555,2/11/2011,Consumer,215.68
54464,2/11/2011,Consumer,307.78
9027,2/11/2013,Consumer,1079.7
43270,2/11/2014,Consumer,362.25
33701,2/12/2011,Consumer,2354.8
3460,2/12/2013,Consumer,161.46
293,2/12/2014,Consumer,10434.47
22980,2/12/2014,Consumer,261.28
3297,3/1/2015,Consumer,150
27746,3/2/2013,Consumer,1787.91
55239,3/2/2015,Consumer,1340.46
1028,3/3/2011,Consumer,2436.77
57253,3/3/2011,Consumer,17491.63
59174,3/3/2012,Consumer,1224.6
16262,3/3/2013,Consumer,56.98
52640,3/3/2013,Consumer,1151.64
27524,3/4/2012,Consumer,324
21956,3/4/2013,Consumer,131.98
