idAlumno,Cd_Procedencia,Edo_Procedencia,Pais_Procedencia
A81954,Oaxaca,Oaxaca,México
A60474,San Pedro Garza García,Nuevo León,México
A24656,Monterrey,Nuevo León,México
A82422,Guadalupe,Nuevo León,México
A32934,Monterrey,Nuevo León,México
A27714,Monterrey,Nuevo León,México
A25465,Monterrey,Nuevo León,México
A25486,Monterrey,Nuevo León,México
A62578,Monterrey,Nuevo León,México
A87970,Monterrey,Nuevo León,México
A80585,San Pedro Garza García,Nuevo León,México
A91518,San Pedro Garza García,Nuevo León,México
A74900,San Pedro Garza García,Nuevo León,México
A40882,San Pedro Garza García,Nuevo León,México
A81002,Monterrey,Nuevo León,México
A61334,Monterrey,Nuevo León,México
A91206,Guadalupe,Nuevo León,México
A70227,Torreón,Coahuila,México
A40520,Coyoacán,Distrito Federal,México
A40826,San Pedro Garza García,Nuevo León,México
A37069,San Pedro Garza García,Nuevo León,México
A49521,San Pedro Garza García,Nuevo León,México
A85916,Monterrey,Nuevo León,México
A86291,Monterrey,Nuevo León,México
A37885,San Pedro Garza García,Nuevo León,México
A38090,Monterrey,Nuevo León,México
A89906,San Pedro Garza García,Nuevo León,México
A65005,Monterrey,Nuevo León,México
A93144,Monterrey,Nuevo León,México
A44837,San Pedro Garza García,Nuevo León,México
A43251,Monterrey,Nuevo León,México
A27315,San Pedro Garza García,Nuevo León,México
A90031,San Pedro Garza García,Nuevo León,México
A88788,San Pedro Garza García,Nuevo León,México
A47003,San Pedro Garza García,Nuevo León,México
A86002,Monterrey,Nuevo León,México
A79792,San Pedro Garza García,Nuevo León,México
A62681,Monterrey,Nuevo León,México
A66527,San Pedro Garza García,Nuevo León,México
A66828,Monterrey,Nuevo León,México
A92006,San Pedro Garza García,Nuevo León,México
A87009,Monterrey,Nuevo León,México
A40912,Monterrey,Nuevo León,México
A93197,Guadalupe,Nuevo León,México
A54621,San Pedro Garza García,Nuevo León,México
A22167,Monterrey,Nuevo León,México
A51292,San Pedro Garza García,Nuevo León,México
A61912,Guadalupe,Nuevo León,México
A22911,Monterrey,Nuevo León,México
A67737,Monterrey,Nuevo León,México
A33143,Monterrey,Nuevo León,México
A88147,Puebla,Puebla,México
A59969,San Pedro Garza García,Nuevo León,México
A64494,Toluca de Lerdo,Estado de México,México
A41230,Monterrey,Nuevo León,México
A88448,Monterrey,Nuevo León,México
A63111,San Nicolás de los Garza,Nuevo León,México
A76146,Monterrey,Nuevo León,México
A37827,San Pedro Garza García,Nuevo León,México
A59376,San Pedro Garza García,Nuevo León,México
